class_id	student_id	sentence_id	sentence	one hot	Label
FAU	0	0	"Herangehensweise:
Ähnlich wie bei der Bearbeitung des Themenbereichs 4 habe ich mich zunächst mit dem Inhalt
der Vorlesung 5 auseinandergesetzt und eine Zusammenfassung erstellt."	0	0.0
FAU	0	1	"Anschließend habe ich
mir die Aufgabenstellung durchgelesen."	0	0.0
FAU	0	2	"Im Gegensatz zu den Fragen zum Themenbereich 4
befasste sich nur eine der beiden Aufgabenstellungen mit dem Fallbeispiel."	0	0.0
FAU	0	3	"Dies war
verständlich beschrieben und stelle eine sehr realistische Situation im Lehrberuf dar."	0/2	2.0
FAU	0	4	"Die erste
Frage bezog sich allerdings lediglich auf den Inhalt der Vorlesungen."	0/2	2.0
FAU	0	5	"Das fand ich persönlich
sehr schade, da ich einen Bezug zur Praxis immer effizienter für einen nachhaltigen Lerneffekt
empfinde."	/0/2/3	3.0
FAU	0	6	"Darüber hinaus war das, wie gesagt, gut ausgewählte Fallbeispiel für die erste Frage
leider überflüssig."	0/2	2.0
FAU	0	7	"
Bearbeitung:
Zur Aufgabenbearbeitung habe ich das Material meiner Zusammenfassung den beiden Fragen
zugeordnet und Stichpunkte verfasst."	0	0.0
FAU	0	8	"Die erste Frage fand ich persönlich etwas ungenau
formuliert und daher habe ich mir zuerst auch schwergetan eine Antwort darauf aus meinem
Skript zu finden."	/0/2/3	3.0
FAU	0	9	Daher fiel der Umfang meiner Antwort auch sehr knapp aus.	0/2	2.0
FAU	0	10	"Zumal erfolgte
meine Beantwortung lediglich als stumpfes Abschreiben von Stichpunkten, was ich nicht als
nachhaltiges Lernziel empfinde.
Die zweite Frage fand ich besser gestellt, da sie sich direkt auf das beschriebene Fallbeispiel
bezog."	/0/2/3	3.0
FAU	0	11	"Ich hielt es ebenfalls für eine gute Idee die Aufgabenstellung in die Methoden zu
untergliedern, die Frau Klammer bereits nutze und welche sie noch heranziehen sollte."	0/2	2.0
FAU	0	12	"Die
diagnostischen Methoden ließen sich leicht dem Fallbeispiel zuordnen."	2	2.0
FAU	0	13	"Bewertung des Feedbacks:
Zunächst muss ich anmerken, dass ich es besser empfunden hätte, wieder die Auswahl zwischen
mehreren Feedbackvarianten zu bekommen, wie es der Fall im Themenbereich 4 war."	0/2	2.0
FAU	0	14	"So sah
ich mich mit einer sehr ausführlichen Erläuterung einer „Musterlösung“ konfrontiert.
"	0	0.0
FAU	0	15	"Allerdings fand ich die Anmerkung einer möglichen Herangehensweise an die Aufgaben sehr
gut, da somit Probleme mit einer Aufgabenstellung besser reflektiert werden können und
aufgezeigt wird, wie man sich sinnvoller mit einer schwierigen Frage auseinandersetzen kann.
Ich habe bereits angeführt, dass ich mit der ersten Aufgabenstellung Probleme hatte."	/0/2/3	3.0
FAU	0	16	"In meiner
Bearbeitung"	0	0.0
FAU	0	17	"fehlten zahlreiche Stichpunkte, daher erfüllte meine Antwort nicht den Umfang
des Feedbacks."	/0/2/3	3.0
FAU	0	18	"Das lag vielleicht unter anderem daran, dass die Aufgabe zu ungenau gestellt
worden war und bestimmte Inhalte aus dem Skript dieser Frage nicht eindeutig zuzuordnen
waren.
"	0/3	3.0
FAU	0	19	"Bei dem Feedback zur zweiten Aufgabe musste ich feststellen, dass dies ebenfalls nicht sehr
deckungsgleich mit meinen Antworten war."	0/2	2.0
FAU	0	20	"Die „Musterlösung“ erschien mir sehr umfangreich
und theoretisch.
"	0/2	2.0
FAU	0	21	"Zuletzt fiel meine Begründung für die anzuwendenden diagnostischen Methoden im Gegensatz
zum Feedbackbogen sehr kurz aus."	0/2	2.0
FAU	0	22	"Während ich meine Erklärungen in einem Fließtext
eingebaut hatte, wurden die Begründungen in dem Feedback als eigener Punkt aufgeführt und
wichen stark von meinen Ergebnissen ab."	0/2	2.0
FAU	0	23	"
Insgesamt lässt sich festhalten, dass meine Antworten, mit denen des Feedbackbogen stark
voneinander abwichen."	0/4	4.0
FAU	0	24	"Meiner Meinung nach liegt das eventuell daran, dass ich in diesem
Themenbereich Schwierigkeiten mit der Aufgabenstellung hatte, die mir allerdings erst so
richtig bei dem Vergleich mit dem Feedbackbogen aufgefallen sind."	/0/2/3	3.0
FAU	0	25	"Da ich trotzdem eigene
Antworten auf die Fragen geben konnte, nutzte ich nicht die Tipps zu den Aufgabenstellungen,
was im Nachhinein sinnvoll gewesen wäre."	0/2/3	3.0
FAU	0	26	"Darüber hinaus erschwerte mir das Selbststudium
den Inhalt dieses Themenbereichs vollständig zu umfassen."	0/2	2.0
FAU	0	27	"Somit erklären sich auch meine
Abweichungen der Antworten von denen des Feedbackbogens."	2	2.0
FAU	1	0	Reflektion	0	0.0
FAU	1	1	VOR	0	0.0
FAU	1	2	"Bearbeitungsphase
-niedrige Motivationsstufe
-habe mich etwas verloren gefühlt 
-cooles zu bearbeitendes Thema 
-durch die Tipps konnte man etwas besser verstehen, was zu tun war, dennoch undurchsichtige Aufgabe"	1/2	2.0
FAU	1	3	"meiner Meinung nach 
Reflektion"	0	0.0
FAU	1	4	WÄHREND	0	0.0
FAU	1	5	"Arbeitsphase
"	0	0.0
FAU	1	6	"-Bearbeitung mit Hilfe der Tipps
"	0	0.0
FAU	1	7	"-Ich folgte dem Leitfaden 
-schwierige Aufgabe"	0	0.0
FAU	1	8	"
-schwierige Aufgabenstellung"	0	0.0
FAU	1	9	Reflektion	0	0.0
