coll_lecture	collection	text	s_id	sentence	english	options gibbs	new gibbs
swp	5	0	0	Warum ich trotz des komischen Erfahrungsberichtes wertvoll bin im Team:	Why I am valuable in the team despite the funny experience report:	0/2	0
swp	5	0	1	- Ich bin umgänglich und humorvoll -	- I am sociable and humorous -	0/2	0
swp	5	0	2	Ich habe paar Websites schon aufgesetzt - Anaconda, Spyder, Jupyter habe ich schon mal in anderen Modulen benutzt -	I have already set up a few websites - Anaconda, Spyder, Jupyter I have used in other modules -	0	0
swp	5	0	3	Aus dem Bachelor-Studium bringe ich Basic-Wissen mit:	I have basic knowledge from my bachelor studies:	0	0
swp	5	0	4	z.B.	e.g.	0	0
swp	5	0	5	habe meine Bachelorarbeit in Python geschrieben - Ich kann Deutsch, English und Russisch relativ gleichwertig -	I wrote my bachelor thesis in Python - I can speak German, English and Russian relatively equal - I have a friend who works professionally in Python	0	0
swp	5	0	6	Ein Freund von mir arbeitet beruflich mit AI, den kann ich evtl.	A friend of mine works professionally with AI, I can possibly teach him.	3	3
swp	5	0	7	Sachen	things	0	0
swp	5	0	8	fragen	ask	0	0
swp	5	0	9	Meine Nachteile:	My disadvantages:	0	0
swp	5	0	10	- Ich habe von ML nicht viel Ahnung, bin aber willig mich einzulesen   --------------------------------------------- Erfahrungsbericht:	- I don't know much about ML, but I'm willing to read up on it --------------------------------------------- Experience report:	0/1/2/	1
swp	5	0	11	Meine bisherige Erfahrung war sehr durchwachsen im Bereich Softwareprojekt.	My previous experience was very mixed in software project.	2022-02-01 00:00:00	2
swp	5	0	12	Ich dachte gerade Softwareprojekte geben einen Freiraum eigene Ideen und Projekte auf die Beine zu stellen.	I thought especially software projects give a free space to set up own ideas and projects.	0	0
swp	5	0	13	Denn ich habe ein altes Buch mit Ideen, die ich umsetzen will, wenn sich mir eine Chance auftut.	Because I have an old book with ideas that I want to implement when an opportunity arises.	5	5
swp	5	0	14	Leider ist sowas im Softwareprojekt-Uni-Kontext nicht gewollt.  Das eine Softwareprojekt, wo ich dann doch bisschen Eigeninitiative zeigen durfte, war ich leider an fiese Kommilitonen geraten.	Unfortunately, something like that is not wanted in the software project university context.  The one software project where I was allowed to show a bit of initiative, I unfortunately got stuck with nasty fellow students.	0/1	1
swp	5	0	15	Jetzt weiß ich wirklich, dass nicht jeder Konflikt mit ehrlichen und offenen Worten behoben werden kann.	Now I really know that not every conflict can be solved with honest and open words.	4	4
