class_id	student_id	question_id	sentence	translation	Unnamed: 5	label_ref	label_sent	gibbs	Unnamed: 9
dundee	29	1	Derzeit bin ich zwiegespalten, was die Unterrichtsplanung angeht.	Currently, I am ambivalent about lesson planning.		1.0	2.0	2	
dundee	29	1	Ein Teil von mir genießt die Kreativität, sich Ideen auszudenken, die die Lernenden (hoffentlich) ansprechen und inspirieren, während der andere Teil es sehr herausfordernd findet, herauszufinden, wie diese Ideen in der Praxis funktionieren werden.	Part of me enjoys the creativity of coming up with ideas that will (hopefully) engage and inspire learners, while the other part finds it very challenging to figure out how those ideas will work in practice.		1.0	3.0	3	
dundee	29	1	Natürlich ist mir klar, dass dies mit der Zeit einfacher wird, und auch, wenn ich für eine Klasse mit echten Kindern plane, und nicht wie bisher nur hypothetisch.	Of course, I realize that this will get easier with time, and also when I am planning for a class with real children, rather than hypothetically as I have been doing.		1.0	4.0	2	
dundee	29	1	In diesem Sinne habe ich versucht, den Language TDT zu vervollständigen, während ich über die Grundschulklasse 5 nachdachte, mit der ich im Praktikum arbeiten werde.	With this in mind, I tried to complete the Language TDT while thinking about the Elementary 5 class I will be working with in the practicum.		1.0	3.0	0	
dundee	29	1	Unsere Aufgabe war es, einen Unterrichtsplan auf der Grundlage eines Kinderbuchs zu erstellen, der die folgenden Ziele erfüllen sollte:  Ich kann: Struktur, Charakterisierung und/oder Schauplatz erörtern die Relevanz des Themas des Autors erkennen und wie es sich auf meine eigenen und die Erfahrungen anderer bezieht den Stil des Autors und andere Merkmale, die dem Genre entsprechen, erörtern.	Our task was to create a lesson plan based on a children's book that would meet the following objectives:  I can: Discuss structure, characterization, and/or setting Identify the relevance of the author's theme and how it relates to my own and others' experiences Discuss the author's style and other characteristics appropriate to the genre.		1.0	3.0	0	
dundee	29	1	Der Roman, den ich für diesen Unterrichtsplan ausgewählt habe, ist der wunderbare: The Lion, The Witch and The Wardrobe von C.S. Lewis.	The novel I chose for this lesson plan is the wonderful: The Lion, The Witch and The Wardrobe by C.S. Lewis.		0.0	3.0	0	
dundee	29	1	Ich beschloss, eine einführende Lektion zu planen und mich dabei nur auf einen Aspekt des Lernergebnisses zu konzentrieren - das Setting.	I decided to plan an introductory lesson focusing on only one aspect of the learning outcome - the setting.		1.0	3.0	0	
dundee	29	1	Im ersten Kapitel des Buches stolpert die Figur der Lucy in das magische Land Narnia.	In the first chapter of the book, the character of Lucy stumbles into the magical land of Narnia.		0.0	3.0	0	
dundee	29	1	C.S. Lewis beschreibt ihre Reise durch den Kleiderschrank und in eine andere Welt.	C.S. Lewis describes her journey through the closet and into another world.		0.0	3.0	0	
dundee	29	1	Mein Unterrichtsplan sieht vor, diesen Abschnitt zu lesen und die Beschreibung zu beachten.	My lesson plan calls for reading this section and paying attention to the description.		0.0	3.0	5	
dundee	29	1	Die Kinder müssen dann die Beschreibung nutzen, um ihre eigene Interpretation zu zeichnen, wie Narnia aussehen könnte.	The children must then use the description to draw their own interpretation of what Narnia might look like.		0.0	3.0	5	
dundee	29	1	Wie schon bei meinen vorherigen Planungsversuchen empfand ich den Plenarteil als schwierig.	As with my previous planning attempts, I found the plenary section to be difficult.		1.0	2.0	2	
dundee	29	1	Wenn ich in mein Schulpraktikum gehe, werde ich beobachten, wie die Klassenlehrerin ihren Unterricht beendet und versuchen, einige ihrer Methoden zu übernehmen.	As I move into my school practicum, I will observe how the classroom teacher completes her lessons and try to incorporate some of her methods.		1.0	3.0	5	
dundee	29	1	Ich freue mich auf die Planung von Unterrichtsstunden, die umgesetzt werden, da ich das Gefühl habe, dass die Umsetzung in die Praxis es mir ermöglichen wird, weiter zu verstehen, wie Zeitpläne und Bewertungsmethoden funktionieren.	I look forward to planning lessons that will be implemented as I feel that putting them into practice will allow me to further understand how schedules and assessment methods work.		1.0	3.0	4	
dundee	15	1	Nach einer kürzlichen Soziologievorlesung habe ich mich dabei ertappt, wie ich über den Wert von Schuluniformen nachdenke.	After a recent sociology lecture, I found myself thinking about the value of school uniforms.		1.0	3.0	0	
dundee	15	1	Zuvor hatte ich gesehen, dass es einige Vorteile gibt;	Previously, I had seen that there were some benefits;		1.0	4.0	3	
dundee	15	1	Kinder fühlen ein Gefühl der Gemeinschaft, sehen schick aus, während sie eine Einstellung zum Lernen haben und eine Art von Gleichheit, die durch das gleiche Aussehen entsteht.	Kids feel a sense of community, looking spiffy while having an attitude toward learning, and a kind of equality that comes from looking alike.		1.0	4.0	3	
dundee	15	1	Aber jetzt habe ich angefangen, mich zu fragen: Ist das wirklich Gleichheit?	But now I've started to wonder: is the really Equality?		1.0	3.0	3	
dundee	15	1	Selbst wenn die Schule vorschreibt, dass jeder eine schwarze Hose tragen muss, ist es dann nicht offensichtlich, welche Kinder von ihren Eltern direkt zu M&S gebracht wurden und welche Kinder die alten, abgetragenen Sachen ihrer Geschwister bekommen haben?	Even if the school mandates that everyone must wear black pants, isn't it obvious which kids were brought directly to M&S by their parents and which kids were given their siblings' old, worn-out clothes?		1.0	2.0	2	
dundee	15	1	Wenn also nicht die Gleichheit, dann sind die Uniformen für die Zugehörigkeit und den Stolz der Schüler auf ihre Schule?	So if not equality, then are the uniforms for the students' sense of belonging and pride in their school?		1.0	3.0	3	
dundee	15	1	Wenn das der Fall ist, wäre es dann nicht besser für die Kinder, sich durch gemeinsame Schulwerte und ein starkes Gemeinschaftsgefühl verbunden zu fühlen?	If that's the case, wouldn't it be better for kids to feel connected through shared school values and a strong sense of community?		1.0	3.0	3	
dundee	15	1	Meiner Meinung nach ist der einzige Weg, den Kindern das Gefühl des Stolzes zu vermitteln, ihnen eine Schule zu geben, an der sie aktiv beteiligt sind.	In my opinion, the only way to give kids a sense of pride is to give them a school they are actively involved in.		1.0	4.0	2	
dundee	15	1	Eine Uniform kann nicht dafür sorgen, dass die Schüler Verantwortung übernehmen und aktiv werden.	A uniform cannot make students take responsibility and become active.		0.0	3.0	2	
dundee	15	1	Sie ist eher demotivierend, da die Kinder sich vielleicht nicht als die einzigartige Person, die sie sind, geschätzt fühlen.	If anything, it is demotivating, as children may not feel valued as the unique person they are.		1.0	2.0	3	
dundee	15	1	Ich kann sehen, wie einige soziologische Theoretiker die Schuluniform mit dem späteren Arbeitsleben in Verbindung gebracht haben.	I can see how some sociological theorists have linked school uniform to later working life.		1.0	3.0	3	
dundee	15	1	"Wenn die Kinder Teil ""des Systems"" werden, müssen sie vielleicht Kompromisse eingehen;"	"When kids become part of ""the system"" they may have to compromise;"		1.0	3.0	3	
dundee	15	1	sie müssen so aussehen, wie es andere für akzeptabel halten.	they have to look the way others think is acceptable.		0.0	3.0	0	
dundee	15	1	Aber selbst innerhalb dieser Zwänge sind wir als Erwachsene in der Lage, eine gewisse Individualität und Persönlichkeit durch unser Aussehen zu zeigen.	But even within these constraints, as adults we are able to show some individuality and personality through our appearance.		1.0	4.0	3	
dundee	15	1	Ein Beispiel dafür ist eine formelle Interviewsituation.	An example of this is a formal interview situation.		0.0	3.0	0	
dundee	15	1	Es gibt klare Vorstellungen darüber, welche Kleidung und welches Auftreten erwartet wird, aber wenn es drei Bewerberinnen gibt, kann eine ein Kleid, eine einen Rock und eine eine Hose tragen.	There are clear ideas about what clothing and appearance is expected, but if there are three applicants, one may wear a dress, one may wear a skirt, and one may wear slacks. 		0.0	3.0	0	
dundee	15	1	Wie sich eine Person kleidet, kann einen großen Einfluss darauf haben, wie sie sich selbst fühlt.	How a person dresses can have a big impact on how they feel about themselves.		0.0	3.0	2	
dundee	15	1	Es kann auch ihr körperliches Wohlbefinden beeinflussen.	It can also affect their physical well-being.		0.0	3.0	2	
