coll_lecture	coll_session	subj	text_id	sentence	sentences english	gibs	label_ref	sentiment	gibbs	gibbs.1
swp	2	1	0	ich keine erfahrung in projekarbeiten und auch sehr wenig im programmieren	i have no experience in project work and also very little in programming		0	3	0/2	0
swp	2	2	0	Gutes Team, Interessantes	Good team, interesting		0	4	2022-01-02 00:00:00	1
swp	2	2	0	Projekt, remote, mehrmals pro woche, weil es spass macht, mehrmals pro woche	Project, remote, several times a week, because it is fun, several times a week		1	4	2022-01-02 00:00:00	1
swp	2	3	0	Viel organisatorisches	A lot of organizational stuff		0	3	0	0
swp	2	4	0	Infrastrucktur eingerichtet, Zeitplan erstellt, wissen zum Thema angelesen	Infrastructure set up, schedule created, knowledge about the topic acquired		0	3	0	0
swp	2	5	0	Erste Kommunikation, minimale Wissensaneignung	First communication, minimal knowledge acquisition		0	3	0/2	0
swp	2	6	0	Die letzte Woche war okay.	Last week was okay.		0	3	0/2	0
swp	2	6	0	Aber bisher wurde ja nur geplant, ich prokrastiniere aktuell nur, mich mit der Software auseinanderzusetzen.	But so far it's just been planning, I'm currently just procrastinating getting to grips with the software.		1	2	0/2	2
swp	2	6	0	Ich ahne, dass noch viel Arbeit auf mich zukommt.	I suspect that there is still a lot of work to do.		1	3	2022-03-02 00:00:00	3
swp	2	7	0	Vorbereiten der Entwicklungsumgebung, Verbinden mit dem Remote-Server, Einrichten des Projekt-Repository	Preparing the development environment, connecting to the remote server, setting up the project repository.		0	3	0	0
swp	2	8	0	Ich habe eine Idee worum das Thema geht, aber teilweise hinderlich ist, dass man nicht genau weiss, was zur einem zur Verfügung steht in Anbetracht der Daten etc.	I have an idea what the topic is about, but partly hindering is that you don't know exactly what is available to you given the data, etc.		1	6	2	2
swp	2	9	0	Arbeiten in der Gruppe läuft gut.	Working in the group is going well.		0	4	2022-01-02 00:00:00	1
swp	2	9	0	Erste Schritte und Gedanken wurden gemacht.	First steps and thoughts have been made.		0	3	0	0
swp	2	9	0	Details zu dem Projekt sind leider noch nicht bekannt.	Details of the project are unfortunately not yet known.		0	2	0	0
swp	2	10	0	Wenig Gruppenarbeit bisher gemacht aufgrund von Kommunikations-Schwierigkeiten und dadurch ein wenig erschlagen vom Start.	Little group work done so far due to communication difficulties and thus a bit slammed from the start.		1	2	2022-02-03 00:00:00	2
swp	2	11	0	War nicht viel zu tun in dieser Woche.	Wasn't much to do this week.		0	3	0	0
swp	2	11	0	Die größte Herausforderung war es Kontakt zu Team Membern aufzubauen.	The biggest challenge was to establish contact to team members.		1	2	2	2
swp	2	12	0	Die Teamgröße war leider nicht so groß.	Unfortunately the team size was not that big.		0	2	2	2
swp	2	12	0	Es hat sehr viel Spaß gemacht, wie wir miteinander im Team im ersten Meeting gestern zusammengekommen sind.	It was a lot of fun how we came together in the team in the first meeting yesterday.		1	5	2022-01-02 00:00:00	1
swp	2	12	0	Dass wir die latency nicht bedacht haben war schade, aber kann man sicherlich auch eine Lösung für finden.	It was a pity that we didn't consider the latency, but we can surely find a solution for it.		1	6	2/3/4/	2
swp	2	12	0	Es gab bischer noch nicht so viel Fortschritt, unter anderem einfach, weil ich noch nicht die Zeit hatte, mich da stark einzufinden.	There hasn't been that much progress yet, partly because I haven't had the time to really get into it yet.		1	2	2022-03-02 00:00:00	2
swp	2	12	0	Der Vortrag war gut und ich habe Lob erhalten, was gut war.	The lecture was good and I received praise, which was good.		1	4	2022-01-02 00:00:00	1
swp	2	12	0	Die Vortrags-Art hätte besser sein können, es war nicht flüssig genug.	The lecture style could have been better, it wasn't fluid enough.		1	2	2	2
