class_id	student_id	sentence_id	sentence	TRANSLATION	gibbs	gibbs options	emotions
FAU	0	0	Zunächst habe ich meinen Arbeitsplatz vorbereitet, um konzentriert die Aufgabe bearbeiten zu können.	" "" First  I prepared my workstation to be able to work on the task in a concentrated way. "" "	0.0	0	0
FAU	0	1	Anschließend las ich das Fallbeispiel mehrmals durch und fing spontan an, die Fragen zu beantworten.	" "" Then I read through the case study several times and spontaneously started to answer the questions. "" "	0.0	0	0
FAU	0	2	Ich bin neutral und offen an die Aufgabe herangegangen und habe mich Recht wohl gefühlt.	" "" I approached the task neutrally and openly and felt quite comfortable. "" "	1.0	0, 1	approv, comfort
FAU	0	3	Nachdem ich zunächst die Aufgabe ohne Lerninhalte bearbeitet hatte, las ich die Tipps durch und konnte mehr Reproduktion hinzufügen und der Lösung eine Struktur geben, welche auf Hintergrundwissen basierte.	" "" After initially working on the task without learning content  I read through the tips and was able to add more reproduction and give the solution a structure based on background knowledge. "" "	0.0	0	0
FAU	0	4	Die Tipps haben mir sehr geholfen, um meine Lösung zu verbessern.	" "" The tips helped me a lot to improve my solution. "" "	2.0	2	appre
FAU	0	5	Ich bin zufrieden mit meiner Leistung.	" "" I am satisfied with my performance. "" "	1.0	1	satisf
FAU	0	6	Allerdings ist mir bewusst, dass sie nicht zu 100% vollständig ist.	" "" However  I am aware that it is not 100% complete. "" "	3.0	0,3	0
FAU	0	7	Leider weiß ich aber nicht, was noch fehlt bzw. was verbessert werden kann.	" "" Unfortunately  however  I do not know what is still missing or what can be improved. "" "	4.0	0,1,4	uncertainty, frrustrat
FAU	0	8	Schließlich ist es aber eine gute Übung und muss nicht perfekt sein.	" "" After all  it is a good exercise and does not have to be perfect. "" "	4.0	4,2,1	acceptance
FAU	1	0	Sehr motiviert, denn ich finde das Klassengeschehen und die Klassendynamik für gutes und effektives Lernen sehr wichtig.	" "" Very motivated  because I find class events and class dynamics very important for good and effective learning. "" "	3.0	1, 2, 3	motivated
